                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6417,                 1.0102,                 1.1509,                0.82363,                0.57407,                0.64879,                0.34134,                 1.4222,                0.66132,                 1.0654,              0.0033292,              0.0033292,              0.0033292
                      2,                 1.4914,                0.76904,                 1.0467,                 0.8096,                 0.5444,                0.61036,                0.31678,                 1.4702,                0.79117,                 1.0791,              0.0066295,              0.0066295,              0.0066295
                      3,                 1.5375,                0.82857,                  1.063,                0.81135,                0.53954,                0.61186,                0.31843,                 1.4842,                0.79384,                 1.1072,              0.0098969,              0.0098969,              0.0098969
                      4,                  1.542,                 0.8459,                 1.0808,                0.80743,                 0.5439,                0.61295,                0.32042,                 1.4696,                0.77571,                 1.1095,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.5076,                 0.8089,                 1.0698,                0.82333,                0.55244,                0.62607,                0.32735,                 1.4226,                0.71896,                 1.0755,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.4735,                0.77813,                 1.0555,                 0.8303,                0.56598,                0.64625,                0.34935,                 1.4021,                0.69129,                 1.0631,               0.009802,               0.009802,               0.009802
                      7,                 1.4566,                0.75459,                 1.0502,                0.83259,                0.57961,                0.65649,                0.35648,                 1.3898,                0.67562,                 1.0641,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.4339,                0.73546,                 1.0471,                0.84516,                0.58697,                0.66973,                0.36616,                 1.3818,                0.65944,                 1.0686,               0.009703,               0.009703,               0.009703
                      9,                 1.4268,                0.72325,                 1.0366,                0.84563,                0.59573,                0.67655,                0.36801,                 1.3617,                0.65206,                  1.053,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.4012,                 0.7073,                 1.0326,                0.85088,                0.59112,                0.67193,                0.36841,                 1.3616,                0.64303,                 1.0527,               0.009604,               0.009604,               0.009604
                     11,                 1.4019,                0.69857,                 1.0278,                0.84942,                0.59868,                0.67935,                0.37364,                 1.3577,                0.64009,                 1.0513,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.3906,                0.69108,                 1.0266,                0.85649,                 0.5993,                0.68467,                0.37446,                 1.3644,                0.62954,                 1.0507,               0.009505,               0.009505,               0.009505
                     13,                 1.3822,                0.68424,                 1.0231,                0.85198,                0.60054,                0.68395,                0.37546,                 1.3431,                0.62505,                 1.0511,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.3749,                0.67608,                 1.0201,                0.86155,                0.60749,                0.68983,                0.37954,                 1.3377,                0.61359,                  1.041,               0.009406,               0.009406,               0.009406
                     15,                 1.3707,                0.67367,                 1.0152,                0.86475,                0.61015,                0.69682,                0.38702,                 1.3345,                0.60471,                  1.042,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.3587,                0.66115,                 1.0122,                0.85981,                0.62403,                0.70423,                0.38829,                 1.3307,                0.59943,                 1.0355,               0.009307,               0.009307,               0.009307
                     17,                 1.3544,                0.65647,                 1.0113,                0.85549,                0.61425,                0.69722,                0.38604,                  1.327,                0.59255,                 1.0434,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.3487,                 0.6502,                 1.0134,                0.86158,                0.62033,                0.70477,                0.38868,                 1.3277,                0.59123,                  1.029,               0.009208,               0.009208,               0.009208
                     19,                 1.3453,                0.64642,                 1.0135,                0.85631,                0.62353,                 0.7052,                0.39177,                 1.3169,                0.59009,                 1.0415,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.3352,                0.64199,                  1.011,                0.86047,                0.62358,                0.71139,                0.39579,                  1.324,                0.58786,                 1.0348,               0.009109,               0.009109,               0.009109
                     21,                 1.3317,                0.64019,                 1.0096,                 0.8595,                0.62954,                0.71321,                0.39841,                 1.3174,                0.57921,                 1.0465,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.3312,                0.63812,                 1.0113,                0.85919,                0.63255,                0.71308,                0.39824,                 1.3107,                0.58067,                 1.0405,                0.00901,                0.00901,                0.00901
                     23,                 1.3226,                0.63121,                 1.0071,                0.86757,                0.63046,                0.71567,                0.39876,                 1.3124,                0.57223,                 1.0353,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.3203,                0.62731,                  1.001,                 0.8618,                0.63658,                0.71883,                0.40202,                 1.3075,                0.56489,                 1.0352,               0.008911,               0.008911,               0.008911
                     25,                  1.325,                0.62804,                 1.0061,                0.86569,                0.63557,                0.71995,                 0.4042,                  1.304,                0.56461,                 1.0377,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.3245,                0.62823,                 1.0012,                0.86627,                0.63464,                0.71786,                0.39936,                 1.3135,                0.56789,                 1.0441,               0.008812,               0.008812,               0.008812
