                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.702,                  1.053,                  1.169,                0.81787,                0.55045,                0.63138,                0.32816,                 1.4432,                0.70649,                 1.0435,              0.0033292,              0.0033292,              0.0033292
                      2,                 1.5098,                0.78917,                 1.0423,                0.80356,                0.53859,                0.60818,                0.31305,                 1.4765,                0.74598,                 1.0569,              0.0066186,              0.0066186,              0.0066186
                      3,                  1.546,                0.83022,                 1.0446,                0.81239,                0.52675,                0.60481,                0.31741,                 1.4752,                0.78587,                 1.0697,              0.0098639,              0.0098639,              0.0098639
                      4,                  1.547,                0.85085,                 1.0594,                0.79618,                0.51335,                0.58413,                0.29963,                  1.491,                 0.8074,                 1.0748,               0.009802,               0.009802,               0.009802
                      5,                 1.5191,                 0.8181,                 1.0513,                0.82091,                0.54702,                0.62224,                0.32769,                 1.4463,                0.73289,                 1.0658,               0.009802,               0.009802,               0.009802
                      6,                 1.4882,                0.79051,                 1.0431,                0.83337,                0.55662,                0.63518,                0.34224,                 1.4276,                0.70803,                  1.054,               0.009736,               0.009736,               0.009736
                      7,                  1.471,                0.76646,                 1.0332,                0.83929,                 0.5624,                0.64426,                0.34899,                 1.4119,                0.69039,                 1.0586,                0.00967,                0.00967,                0.00967
                      8,                 1.4498,                0.74955,                 1.0357,                0.84461,                0.57851,                0.65892,                0.35513,                 1.4022,                0.67009,                 1.0491,               0.009604,               0.009604,               0.009604
                      9,                 1.4423,                0.73661,                 1.0255,                0.84465,                0.57425,                0.65729,                 0.3576,                 1.3837,                0.67099,                  1.045,               0.009538,               0.009538,               0.009538
                     10,                 1.4193,                0.72317,                 1.0243,                0.84998,                0.57165,                0.65532,                0.35812,                 1.3693,                0.66232,                 1.0357,               0.009472,               0.009472,               0.009472
                     11,                 1.4235,                0.71752,                 1.0209,                0.85133,                0.58651,                0.66492,                0.36369,                 1.3732,                0.65486,                 1.0392,               0.009406,               0.009406,               0.009406
                     12,                 1.4081,                0.70682,                 1.0168,                0.85568,                0.59409,                0.67796,                0.37083,                 1.3625,                 0.6364,                 1.0332,                0.00934,                0.00934,                0.00934
                     13,                 1.4007,                0.70174,                 1.0149,                0.84485,                0.58961,                0.66658,                0.36118,                 1.3626,                0.64266,                 1.0346,               0.009274,               0.009274,               0.009274
                     14,                 1.3941,                0.69671,                 1.0083,                0.85754,                0.59633,                0.67908,                0.37323,                   1.35,                0.63064,                 1.0284,               0.009208,               0.009208,               0.009208
                     15,                 1.3908,                0.69342,                 1.0061,                0.84649,                0.60314,                 0.6846,                0.37722,                 1.3434,                0.61967,                 1.0259,               0.009142,               0.009142,               0.009142
                     16,                 1.3796,                0.67966,                 1.0051,                 0.8615,                0.60219,                0.68837,                0.37892,                 1.3459,                0.61151,                  1.028,               0.009076,               0.009076,               0.009076
                     17,                 1.3751,                0.67364,                 1.0041,                0.85418,                0.60905,                0.68924,                0.37748,                 1.3437,                0.61016,                 1.0347,                0.00901,                0.00901,                0.00901
                     18,                 1.3698,                0.67124,                 1.0066,                0.86035,                0.60574,                0.68978,                0.37674,                 1.3482,                0.61133,                 1.0321,               0.008944,               0.008944,               0.008944
                     19,                 1.3639,                0.66214,                 1.0026,                0.85264,                0.60666,                0.68778,                0.37985,                 1.3335,                0.60796,                 1.0205,               0.008878,               0.008878,               0.008878
                     20,                 1.3531,                0.65709,                 1.0004,                0.85819,                0.61162,                0.69512,                0.38167,                 1.3429,                0.60538,                 1.0266,               0.008812,               0.008812,               0.008812
                     21,                  1.352,                0.65765,                  1.001,                0.86118,                0.61701,                 0.7013,                0.39031,                 1.3227,                0.59178,                 1.0224,               0.008746,               0.008746,               0.008746
                     22,                 1.3511,                0.65565,                 1.0019,                0.85741,                0.61885,                 0.6989,                0.38862,                 1.3236,                0.59557,                 1.0279,                0.00868,                0.00868,                0.00868
                     23,                 1.3461,                0.65043,                0.99899,                0.86378,                0.61681,                0.70107,                0.38895,                 1.3242,                0.58469,                 1.0252,               0.008614,               0.008614,               0.008614
                     24,                 1.3393,                0.64262,                0.99083,                0.86217,                0.62432,                0.70807,                0.39283,                 1.3202,                0.58329,                 1.0176,               0.008548,               0.008548,               0.008548
                     25,                 1.3467,                0.64421,                0.99705,                0.86162,                0.62192,                0.70692,                0.39248,                  1.317,                0.57957,                 1.0215,               0.008482,               0.008482,               0.008482
                     26,                 1.3433,                0.64524,                0.98918,                0.86253,                0.62582,                0.70905,                0.39246,                 1.3218,                0.57823,                 1.0211,               0.008416,               0.008416,               0.008416
                     27,                  1.325,                0.63361,                0.98848,                0.86173,                0.62882,                0.70984,                0.39475,                 1.3194,                0.57215,                 1.0218,                0.00835,                0.00835,                0.00835
                     28,                 1.3304,                0.63688,                0.98784,                0.86209,                0.62751,                0.70991,                0.39404,                 1.3148,                0.57109,                 1.0147,               0.008284,               0.008284,               0.008284
                     29,                 1.3183,                0.62757,                0.98686,                0.86231,                0.63172,                0.71548,                0.39881,                 1.3124,                0.56593,                 1.0141,               0.008218,               0.008218,               0.008218
                     30,                 1.3236,                 0.6302,                0.98333,                0.86953,                 0.6264,                 0.7126,                0.39587,                 1.3123,                0.56727,                 1.0152,               0.008152,               0.008152,               0.008152
                     31,                 1.3203,                0.62799,                0.98695,                0.86578,                0.63031,                0.71541,                0.39778,                  1.313,                0.56624,                 1.0181,               0.008086,               0.008086,               0.008086
                     32,                 1.3081,                0.62035,                 0.9823,                 0.8629,                0.63295,                0.71634,                0.39905,                 1.3093,                0.56151,                 1.0155,                0.00802,                0.00802,                0.00802
                     33,                 1.3161,                0.62308,                0.98252,                0.87236,                 0.6299,                0.71673,                0.39958,                  1.309,                0.55944,                 1.0136,               0.007954,               0.007954,               0.007954
                     34,                 1.3189,                0.62392,                 0.9825,                 0.8699,                0.63426,                0.71949,                0.40023,                 1.3063,                0.55743,                 1.0153,               0.007888,               0.007888,               0.007888
                     35,                 1.3038,                0.61422,                0.98233,                0.86825,                0.63409,                0.72022,                  0.403,                 1.3034,                0.55579,                 1.0145,               0.007822,               0.007822,               0.007822
                     36,                 1.3064,                0.61307,                0.98036,                0.86646,                0.63634,                0.72024,                0.40201,                 1.3073,                0.55527,                 1.0157,               0.007756,               0.007756,               0.007756
