                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8869,                  1.629,                 1.2201,                0.74492,                0.44327,                0.49963,                0.24658,                  1.624,                 1.0702,                 1.0935,              0.0033292,              0.0033292,              0.0033292
                      2,                  1.701,                 1.1011,                 1.0905,                0.73913,                0.45807,                0.51007,                0.25191,                 1.6105,                0.97508,                 1.0953,              0.0066405,              0.0066405,              0.0066405
                      3,                 1.7028,                 1.0444,                 1.0816,                0.74848,                0.45026,                0.51066,                0.25614,                  1.611,                0.96738,                 1.0904,              0.0099299,              0.0099299,              0.0099299
                      4,                 1.6748,                 1.0055,                 1.0793,                0.75192,                 0.4355,                0.49497,                0.25006,                 1.6105,                0.95678,                 1.0952,               0.009901,               0.009901,               0.009901
                      5,                 1.6423,                0.95827,                  1.067,                 0.7755,                0.47877,                0.54412,                0.27849,                 1.5344,                0.85957,                 1.0597,               0.009901,               0.009901,               0.009901
                      6,                 1.6104,                0.92268,                 1.0588,                0.78712,                0.49091,                0.56567,                0.29658,                 1.5168,                0.81968,                 1.0568,               0.009868,               0.009868,               0.009868
                      7,                 1.5918,                0.89527,                 1.0482,                0.77553,                0.50176,                0.56675,                0.29683,                 1.4992,                0.82624,                 1.0579,               0.009835,               0.009835,               0.009835
                      8,                 1.5678,                0.87314,                 1.0475,                0.79692,                0.50582,                0.57952,                0.30172,                 1.4964,                0.78357,                 1.0535,               0.009802,               0.009802,               0.009802
                      9,                 1.5648,                0.86236,                 1.0391,                0.80082,                0.50932,                0.58477,                 0.3075,                 1.4797,                0.78121,                 1.0455,               0.009769,               0.009769,               0.009769
                     10,                 1.5392,                0.84712,                 1.0363,                0.80047,                0.50033,                0.57419,                0.30253,                 1.4743,                0.77722,                 1.0425,               0.009736,               0.009736,               0.009736
                     11,                 1.5414,                0.83831,                 1.0324,                0.81823,                0.51267,                0.58375,                0.30872,                 1.4725,                 0.7734,                 1.0413,               0.009703,               0.009703,               0.009703
                     12,                 1.5277,                0.82888,                 1.0305,                 0.8103,                0.52434,                0.59576,                0.31278,                 1.4718,                0.74128,                 1.0436,                0.00967,                0.00967,                0.00967
                     13,                  1.521,                0.82281,                 1.0296,                  0.809,                0.52634,                0.59881,                0.31648,                 1.4427,                0.73564,                 1.0306,               0.009637,               0.009637,               0.009637
                     14,                 1.5158,                 0.8184,                  1.025,                0.81723,                0.53052,                0.60556,                0.32077,                 1.4467,                 0.7298,                  1.032,               0.009604,               0.009604,               0.009604
                     15,                 1.5126,                0.81099,                 1.0218,                0.81109,                0.53722,                0.61416,                 0.3278,                 1.4271,                0.71292,                 1.0325,               0.009571,               0.009571,               0.009571
                     16,                 1.5007,                0.79782,                 1.0206,                0.81659,                0.54065,                0.61505,                0.32894,                 1.4294,                0.70955,                 1.0269,               0.009538,               0.009538,               0.009538
                     17,                 1.4962,                0.79761,                 1.0192,                0.82424,                0.53418,                0.61216,                0.32676,                 1.4255,                0.71209,                 1.0223,               0.009505,               0.009505,               0.009505
                     18,                 1.4951,                0.79254,                 1.0207,                0.82025,                0.53851,                0.61559,                0.32756,                 1.4325,                0.70395,                 1.0325,               0.009472,               0.009472,               0.009472
                     19,                 1.4883,                0.78261,                 1.0186,                 0.8171,                0.54433,                0.61981,                0.33043,                 1.4203,                0.69722,                 1.0212,               0.009439,               0.009439,               0.009439
                     20,                 1.4787,                0.77819,                 1.0156,                0.82639,                0.53886,                0.61771,                0.33057,                 1.4146,                0.69606,                 1.0223,               0.009406,               0.009406,               0.009406
                     21,                  1.477,                0.77949,                 1.0164,                0.82451,                0.54604,                0.62287,                 0.3352,                 1.4112,                0.68759,                 1.0187,               0.009373,               0.009373,               0.009373
                     22,                 1.4786,                0.77928,                 1.0169,                0.82561,                0.54815,                0.62316,                0.33434,                 1.4101,                0.68509,                 1.0225,                0.00934,                0.00934,                0.00934
                     23,                 1.4733,                0.77152,                 1.0158,                0.82423,                0.54961,                0.62625,                0.33624,                   1.41,                0.67659,                 1.0208,               0.009307,               0.009307,               0.009307
                     24,                 1.4687,                0.76672,                 1.0105,                0.82908,                0.55047,                 0.6272,                0.33744,                 1.4047,                0.68112,                 1.0238,               0.009274,               0.009274,               0.009274
                     25,                 1.4761,                0.77065,                 1.0119,                 0.8282,                0.55581,                0.63288,                0.34038,                 1.4015,                0.67298,                 1.0167,               0.009241,               0.009241,               0.009241
                     26,                 1.4763,                0.76939,                 1.0082,                0.82342,                0.55082,                0.62758,                0.33594,                 1.4048,                 0.6731,                 1.0165,               0.009208,               0.009208,               0.009208
                     27,                 1.4557,                 0.7561,                 1.0082,                0.82679,                 0.5581,                0.63544,                0.34106,                  1.402,                0.66535,                 1.0205,               0.009175,               0.009175,               0.009175
                     28,                  1.463,                0.76513,                 1.0074,                0.83045,                0.55473,                0.63318,                0.34037,                 1.3947,                0.66558,                 1.0164,               0.009142,               0.009142,               0.009142
                     29,                 1.4521,                0.75283,                 1.0063,                0.83104,                0.55871,                0.63776,                0.34366,                 1.3936,                0.65887,                 1.0134,               0.009109,               0.009109,               0.009109
                     30,                 1.4585,                0.75651,                  1.006,                0.82838,                0.56289,                0.63923,                0.34334,                 1.3906,                0.65681,                 1.0144,               0.009076,               0.009076,               0.009076
                     31,                 1.4574,                  0.756,                 1.0048,                0.83047,                0.55715,                0.63558,                0.34117,                 1.3901,                0.65826,                 1.0109,               0.009043,               0.009043,               0.009043
                     32,                 1.4412,                0.74563,                 1.0011,                0.83266,                0.56032,                0.63891,                0.34484,                 1.3823,                0.65484,                 1.0112,                0.00901,                0.00901,                0.00901
                     33,                 1.4541,                0.75034,                 1.0033,                0.83106,                0.56055,                0.63779,                0.34609,                 1.3851,                0.65109,                 1.0118,               0.008977,               0.008977,               0.008977
                     34,                 1.4588,                0.75127,                 1.0015,                0.83421,                0.56133,                 0.6401,                0.34404,                 1.3817,                0.64948,                 1.0075,               0.008944,               0.008944,               0.008944
                     35,                 1.4452,                0.74323,                 1.0058,                0.83301,                0.56437,                0.64354,                0.34838,                 1.3821,                0.64481,                 1.0105,               0.008911,               0.008911,               0.008911
                     36,                  1.447,                 0.7427,                 1.0007,                0.83408,                0.56551,                0.64517,                0.34848,                 1.3807,                0.64316,                 1.0084,               0.008878,               0.008878,               0.008878
                     37,                 1.4512,                0.74347,                 1.0031,                0.83054,                0.56768,                0.64651,                0.34983,                 1.3798,                0.64354,                 1.0087,               0.008845,               0.008845,               0.008845
                     38,                 1.4405,                0.73743,                0.99911,                0.83625,                0.56818,                0.64619,                 0.3507,                 1.3747,                0.64089,                 1.0071,               0.008812,               0.008812,               0.008812
                     39,                 1.4372,                0.73786,                0.99895,                0.83689,                0.56858,                 0.6489,                0.35133,                 1.3785,                 0.6371,                 1.0072,               0.008779,               0.008779,               0.008779
                     40,                 1.4368,                0.73409,                0.99917,                0.83563,                 0.5694,                0.64819,                0.35005,                 1.3784,                0.63842,                 1.0079,               0.008746,               0.008746,               0.008746
                     41,                 1.4341,                0.73511,                0.99502,                0.83469,                0.57052,                0.64983,                0.35076,                 1.3772,                0.63796,                 1.0071,               0.008713,               0.008713,               0.008713
                     42,                  1.426,                0.72882,                0.99658,                0.84176,                 0.5684,                0.64899,                0.35158,                 1.3732,                0.63456,                 1.0056,                0.00868,                0.00868,                0.00868
                     43,                 1.4334,                0.73526,                0.99684,                0.83768,                 0.5716,                0.65188,                 0.3537,                 1.3724,                0.63269,                  1.005,               0.008647,               0.008647,               0.008647
                     44,                 1.4283,                0.72908,                0.99602,                0.83633,                0.57422,                0.65355,                0.35358,                 1.3714,                0.63075,                 1.0043,               0.008614,               0.008614,               0.008614
                     45,                 1.4315,                0.73458,                0.99723,                0.83541,                0.57432,                0.65273,                0.35403,                 1.3708,                0.63027,                 1.0032,               0.008581,               0.008581,               0.008581
                     46,                 1.4318,                0.72956,                0.99335,                0.84031,                0.57185,                0.65246,                0.35359,                 1.3691,                0.62865,                 1.0015,               0.008548,               0.008548,               0.008548
                     47,                 1.4391,                0.73262,                0.99387,                0.84341,                0.57204,                0.65309,                0.35456,                 1.3679,                0.62628,                 1.0018,               0.008515,               0.008515,               0.008515
                     48,                 1.4168,                 0.7169,                0.99489,                0.84099,                 0.5754,                0.65434,                0.35578,                 1.3661,                0.62333,                 1.0016,               0.008482,               0.008482,               0.008482
                     49,                 1.4275,                0.72456,                0.99334,                0.84482,                0.57465,                0.65484,                 0.3555,                 1.3661,                0.62402,                 1.0024,               0.008449,               0.008449,               0.008449
                     50,                 1.4179,                0.71966,                0.99346,                0.84406,                0.57543,                0.65674,                0.35822,                  1.363,                  0.622,                 1.0003,               0.008416,               0.008416,               0.008416
                     51,                 1.4213,                0.72143,                0.99315,                0.84132,                0.57593,                0.65638,                0.35713,                 1.3622,                0.62043,                 1.0003,               0.008383,               0.008383,               0.008383
                     52,                 1.4243,                0.72362,                0.99314,                0.84118,                0.57518,                 0.6559,                0.35705,                 1.3614,                 0.6209,                 1.0007,                0.00835,                0.00835,                0.00835
                     53,                 1.4259,                0.72478,                0.99019,                0.83806,                0.57651,                 0.6561,                 0.3579,                 1.3625,                0.61957,                  1.001,               0.008317,               0.008317,               0.008317
                     54,                 1.4212,                0.71668,                0.99293,                 0.8421,                0.57659,                0.65783,                0.35897,                 1.3594,                0.61732,                 1.0007,               0.008284,               0.008284,               0.008284
                     55,                 1.4099,                0.71478,                0.99068,                0.84228,                0.57714,                 0.6586,                 0.3588,                 1.3594,                0.61629,                 1.0012,               0.008251,               0.008251,               0.008251
                     56,                 1.4206,                0.71807,                0.99156,                0.84184,                0.57736,                0.65846,                0.35861,                 1.3595,                0.61615,                 1.0008,               0.008218,               0.008218,               0.008218
