                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7805,                 1.2275,                 1.1781,                0.78811,                0.51428,                0.59026,                0.30318,                 1.5011,                0.76057,                 1.0426,              0.0033292,              0.0033292,              0.0033292
                      2,                  1.566,                0.84943,                 1.0267,                0.79554,                0.51546,                0.58112,                0.29548,                 1.5255,                0.77956,                 1.0273,              0.0066295,              0.0066295,              0.0066295
                      3,                 1.5869,                0.88195,                 1.0276,                 0.7965,                0.51133,                0.57912,                0.29915,                 1.4999,                0.82773,                 1.0414,              0.0098969,              0.0098969,              0.0098969
                      4,                 1.5811,                0.89092,                 1.0355,                0.79448,                 0.5135,                0.58687,                0.30083,                  1.494,                0.79282,                 1.0333,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.5576,                0.86458,                 1.0272,                0.81219,                  0.529,                  0.601,                0.31509,                 1.4726,                0.76275,                 1.0218,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.5248,                0.83435,                 1.0203,                 0.8216,                 0.5347,                 0.6149,                0.32866,                 1.4405,                0.73901,                 1.0186,               0.009802,               0.009802,               0.009802
                      7,                 1.5065,                0.80869,                 1.0088,                0.82015,                0.54483,                0.61956,                0.33194,                 1.4305,                0.73087,                 1.0188,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.4887,                0.79414,                 1.0082,                0.82619,                0.55657,                0.63018,                0.33632,                 1.4277,                0.70809,                 1.0095,               0.009703,               0.009703,               0.009703
                      9,                 1.4841,                0.78497,                  1.003,                0.83759,                0.55853,                0.63757,                0.34336,                 1.4099,                0.70364,                 1.0099,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.4586,                0.76579,                0.99982,                0.82702,                0.55498,                0.62976,                0.33914,                 1.4094,                  0.707,                 1.0094,               0.009604,               0.009604,               0.009604
