                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6262,                0.96549,                 1.1541,                0.82521,                0.58309,                0.65884,                0.34934,                 1.4034,                 0.6572,                  1.067,               0.070037,              0.0033292,              0.0033292
                      2,                 1.4724,                0.74952,                 1.0509,                0.83519,                0.56727,                0.64577,                 0.3417,                 1.4377,                0.69937,                 1.0613,               0.039971,              0.0065959,              0.0065959
                      3,                 1.5261,                0.82273,                 1.0595,                0.79276,                0.53559,                0.59914,                0.31196,                 1.4846,                0.83425,                 1.0815,              0.0098374,              0.0097959,              0.0097959
                      4,                 1.5478,                0.86005,                 1.0852,                0.80664,                0.52496,                0.59713,                0.30975,                 1.4666,                0.80404,                 1.0945,                 0.0097,                 0.0097,                 0.0097
                      5,                 1.5301,                0.83844,                 1.0784,                0.82446,                0.54103,                0.61836,                0.32297,                  1.452,                0.74705,                 1.0916,                 0.0097,                 0.0097,                 0.0097
                      6,                 1.4998,                0.80953,                 1.0742,                0.82593,                 0.5616,                0.63849,                0.34166,                 1.4294,                0.72291,                 1.0845,                 0.0096,                 0.0096,                 0.0096
                      7,                 1.4893,                0.79627,                 1.0642,                0.82126,                0.55682,                0.63277,                0.34266,                 1.4105,                 0.7204,                 1.0837,                 0.0095,                 0.0095,                 0.0095
                      8,                 1.4698,                0.77702,                 1.0669,                0.83782,                0.57886,                0.65382,                0.35075,                 1.4146,                 0.6915,                 1.0861,                 0.0094,                 0.0094,                 0.0094
                      9,                 1.4666,                0.77102,                 1.0596,                0.84253,                0.57984,                0.65802,                0.35558,                 1.3951,                0.68725,                 1.0828,                 0.0093,                 0.0093,                 0.0093
                     10,                 1.4468,                0.75843,                 1.0626,                0.84387,                0.57198,                 0.6511,                0.35435,                 1.3835,                0.69558,                 1.0708,                 0.0092,                 0.0092,                 0.0092
